orf1	0-53
orf5116-r	33064-33153
orf5117	89819-89851
orf5117-r	32968-33063
orf5118	89852-89884
orf5118-r	32920-32967
orf5119	89885-89935
orf5119-r	32734-32910
orf512	40689-40712
orf512-r	115290-115355
orf5120	89936-89986
orf5120-r	32683-32733
orf5121	89987-90070
orf5121-r	32638-32682
orf5122	90071-90115
orf5122-r	32581-32637
orf5123	90125-90184
orf5123-r	32560-32580
orf5124	90185-90229
orf5124-r	32473-32553
orf5125	90245-90280
orf5125-r	32371-32472
orf5126	90281-90304
orf5126-r	32314-32370
orf5127	90305-90397
orf5127-r	32278-32313
orf5128	90398-90418
orf5128-r	32179-32277
orf5129	90437-90490
orf5129-r	32128-32178
orf513	40713-40763
orf513-r	115269-115289
orf5130	90494-90517
orf5130-r	32092-32127
orf5131	90524-90607
orf5131-r	32053-32091
orf5132	90650-90721
orf5132-r	32005-32052
orf5133	90722-90748
orf5133-r	31981-32004
orf5134	90749-90775
orf5134-r	31942-31965
orf5135	90776-90802
orf5135-r	31906-31929
orf5136	90803-90844
orf5136-r	31843-31902
orf5137	90851-90919
orf5137-r	31675-31842
orf5138	90920-90979
orf5138-r	31609-31674
orf5139	90995-91015
orf5139-r	31555-31608
orf514	40764-40793
orf514-r	115206-115253
orf5140	91028-91078
orf5140-r	31522-31554
orf5141	91079-91144
orf5141-r	31486-31515
orf5142	91145-91186
orf5142-r	31333-31473
orf5143	91187-91261
orf5143-r	31312-31332
orf5144	91262-91321
orf5144-r	31237-31311
orf5145	91322-91357
orf5145-r	31087-31236
orf5146	91358-91489
orf5146-r	31051-31086
orf5147	91490-91519
orf5147-r	30958-31050
orf5148	91520-91591
orf5148-r	30895-30957
orf5149	91604-91651
orf5149-r	30787-30894
orf515	40794-40832
orf515-r	115113-115202
orf5150	91655-91789
orf5150-r	30730-30786
orf5151	91793-91849
orf5151-r	30667-30729
orf5152	91850-91870
orf5152-r	30610-30663
orf5153	91886-92032
orf5153-r	30541-30585
orf5154	92033-92140
orf5154-r	30466-30540
orf5155	92141-92185
orf5155-r	30406-30465
orf5156	92201-92227
orf5156-r	30232-30405
orf5157	92243-92296
orf5157-r	30145-30228
orf5158	92297-92323
orf5158-r	30064-30144
orf5159	92345-92365
orf5159-r	30031-30051
orf516	40833-40859
orf516-r	115080-115106
orf5160	92366-92401
orf5160-r	29965-30030
orf5161	92402-92431
orf5161-r	29902-29955
orf5162	92441-92518
orf5162-r	29878-29898
orf5163	92522-92581
orf5163-r	29833-29871
orf5164	92582-92695
orf5164-r	29650-29832
orf5165	92789-92857
orf5165-r	29590-29649
orf5166	92858-92926
orf5166-r	29548-29589
orf5167	92942-92995
orf5167-r	29521-29544
orf5168	93011-93079
orf5168-r	29437-29508
orf5169	93098-93157
orf5169-r	29398-29436
orf517	40860-40889
orf517-r	114960-115079
orf5170	93158-93193
orf5170-r	29320-29373
orf5171	93194-93253
orf5171-r	29269-29319
orf5172	93269-93301
orf5172-r	29245-29268
orf5173	93326-93427
orf5173-r	29218-29244
orf5174	93428-93475
orf5174-r	29146-29205
orf5175	93476-93613
orf5175-r	29098-29145
orf5176	93614-93646
orf5176-r	28993-29079
orf5177	93659-93736
orf5177-r	28891-28974
orf5178	93743-93820
orf5178-r	28780-28860
orf5179	93839-93859
orf5179-r	28753-28779
orf518	40890-40925
orf518-r	114870-114959
orf5180	93860-93931
orf5180-r	28678-28752
orf5181	93932-93961
orf5181-r	28624-28677
orf5182	93962-94039
orf5182-r	28495-28551
orf5183	94064-94111
orf5183-r	28414-28494
orf5184	94112-94240
orf5184-r	28378-28413
orf5185	94241-94297
orf5185-r	28318-28377
orf5186	94298-94366
orf5186-r	28225-28317
orf5187	94406-94453
orf5187-r	28189-28224
orf5188	94454-94516
orf5188-r	28102-28188
orf5189	94517-94666
orf5189-r	27949-28101
orf519	40932-41057
orf519-r	114783-114869
orf5190	94667-94693
orf5190-r	27865-27942
orf5191	94694-94717
orf5191-r	27757-27861
orf5192	94718-94768
orf5192-r	27730-27756
orf5193	94769-94906
orf5193-r	27685-27729
orf5194	94928-95008
orf5194-r	27559-27684
orf5195	95009-95122
orf5195-r	27523-27558
orf5196	95123-95170
orf5196-r	27499-27522
orf5197	95171-95224
orf5197-r	27400-27498
orf5198	95225-95335
orf5198-r	27316-27399
orf5199	95336-95410
orf5199-r	27274-27315
orf52	4275-4346
orf52-r	152805-153041
orf520	41064-41096
orf520-r	114639-114782
orf5200	95411-95599
orf5200-r	27127-27264
orf5201	95600-95716
orf5201-r	27061-27126
orf5202	95717-95833
orf5202-r	27001-27060
orf5203	95834-95887
orf5203-r	26908-27000
orf5204	95888-95908
orf5204-r	26851-26907
orf5205	95909-95929
orf5205-r	26797-26850
orf5206	95936-95989
orf5206-r	26716-26784
orf5207	95990-96055
orf5207-r	26683-26715
orf5208	96056-96106
orf5208-r	26563-26682
orf5209	96107-96139
orf5209-r	26515-26562
orf521	41097-41219
orf521-r	114579-114638
orf5210	96146-96187
orf5210-r	26464-26514
orf5211	96239-96286
orf5211-r	26227-26427
orf5212	96287-96349
orf5212-r	26149-26214
orf5213	96356-96415
orf5213-r	26089-26148
orf5214	96434-96475
orf5214-r	26065-26085
orf5215	96491-96517
orf5215-r	26041-26061
orf5216	96518-96544
orf5216-r	25957-26040
orf5217	96584-96616
orf5217-r	25927-25956
orf5218	96617-96655
orf5218-r	25891-25926
orf5219	96665-96688
orf5219-r	25864-25890
orf522	41220-41273
orf522-r	114552-114578
orf5220	96689-96745
orf5220-r	25834-25863
orf5221	96746-96802
orf5221-r	25708-25821
orf5222	96803-96871
orf5222-r	25633-25707
orf5223	96872-96901
orf5223-r	25609-25632
orf5224	96905-96940
orf5224-r	25528-25596
orf5225	96947-97078
orf5225-r	25489-25518
orf5226	97079-97141
orf5226-r	25456-25479
orf5227	97142-97177
orf5227-r	25411-25455
orf5228	97178-97216
orf5228-r	25363-25410
orf5229	97217-97255
orf5229-r	25339-25362
orf523	41277-41339
orf523-r	114519-114551
orf5230	97256-97282
orf5230-r	25255-25323
orf5231	97298-97336
orf5231-r	25228-25254
orf5232	97337-97372
orf5232-r	25204-25227
orf5233	97373-97468
orf5233-r	25093-25203
orf5234	97472-97537
orf5234-r	25057-25080
orf5235	97538-97606
orf5235-r	25009-25056
orf5236	97607-97786
orf5236-r	24970-25008
orf5237	97787-97864
orf5237-r	24946-24969
orf5238	97874-97924
orf5238-r	24889-24945
orf5239	97925-97978
orf5239-r	24778-24888
orf524	41340-41381
orf524-r	114357-114518
orf5240	97994-98029
orf5240-r	24688-24774
orf5241	98084-98134
orf5241-r	24667-24687
orf5242	98162-98251
orf5242-r	24595-24666
orf5243	98252-98272
orf5243-r	24493-24582
orf5244	98282-98326
orf5244-r	24454-24492
orf5245	98327-98350
orf5245-r	24391-24435
orf5246	98363-98554
orf5246-r	24316-24390
orf5247	98555-98578
orf5247-r	24271-24315
orf5248	98579-98611
orf5248-r	24247-24270
orf5249	98612-98644
orf5249-r	24082-24180
orf525	41382-41447
orf525-r	114312-114338
orf5250	98645-98887
orf5250-r	24043-24069
orf5251	98900-98944
orf5251-r	23947-24042
orf5252	98948-99073
orf5252-r	23842-23946
orf5253	99083-99148
orf5253-r	23788-23823
orf5254	99149-99193
orf5254-r	23710-23754
orf5255	99194-99253
orf5255-r	23584-23709
orf5256	99254-99331
orf5256-r	23452-23556
orf5257	99332-99439
orf5257-r	23428-23451
orf5258	99440-99574
orf5258-r	23248-23427
orf5259	99575-99625
orf5259-r	23152-23247
orf526	41448-41471
orf526-r	114261-114311
orf5260	99626-99670
orf5260-r	23032-23151
orf5261	99671-99808
orf5261-r	22996-23022
orf5262	99809-99856
orf5262-r	22930-22995
orf5263	99857-99904
orf5263-r	22906-22929
orf5264	99905-99949
orf5264-r	22882-22905
orf5265	99950-100039
orf5265-r	22774-22881
orf5266	100040-100396
orf5266-r	22726-22764
orf5267	100397-100687
orf5267-r	22585-22725
orf5268	100688-100798
orf5268-r	22492-22572
orf5269	100799-100906
orf5269-r	22387-22473
orf527	41490-41516
orf527-r	114207-114242
orf5270	100913-100933
orf5270-r	22273-22362
orf5271	100934-100966
orf5271-r	22237-22260
orf5272	100967-101026
orf5272-r	22207-22236
orf5273	101027-101134
orf5273-r	22156-22206
orf5274	101162-101209
orf5274-r	22135-22155
orf5275	101234-101314
orf5275-r	22081-22134
orf5276	101315-101536
orf5276-r	22006-22080
orf5277	101537-101575
orf5277-r	21814-22005
orf5278	101576-101602
orf5278-r	21787-21813
orf5279	101603-101659
orf5279-r	21673-21756
orf528	41517-41579
orf528-r	114183-114206
orf5280	101660-101704
orf5280-r	21646-21672
orf5281	101708-101746
orf5281-r	21595-21645
orf5282	101756-101821
orf5282-r	21493-21558
orf5283	101822-101845
orf5283-r	21463-21492
orf5284	101846-101884
orf5284-r	21388-21459
orf5285	101885-101932
orf5285-r	21346-21387
orf5286	101933-101968
orf5286-r	21220-21345
orf5287	101972-102148
orf5287-r	21193-21213
orf5288	102161-102208
orf5288-r	21154-21180
orf5289	102209-102274
orf5289-r	21067-21153
orf529	41589-41633
orf529-r	114156-114182
orf5290	102275-102322
orf5290-r	21013-21066
orf5291	102338-102361
orf5291-r	20980-21012
orf5292	102362-102385
orf5292-r	20872-20979
orf5293	102386-102538
orf5293-r	20797-20871
orf5294	102539-102589
orf5294-r	20623-20796
orf5295	102590-102619
orf5295-r	20593-20622
orf5296	102620-102640
orf5296-r	20503-20592
orf5297	102641-102829
orf5297-r	20422-20487
orf5298	102872-102922
orf5298-r	20311-20421
orf5299	102923-102964
orf5299-r	20239-20280
orf53	4356-4382
orf53-r	152772-152804
orf530	41649-41903
orf530-r	114120-114152
orf5300	102965-103051
orf5300-r	20158-20238
orf5301	103052-103150
orf5301-r	20122-20157
orf5302	103151-103336
orf5302-r	20014-20121
orf5303	103337-103504
orf5303-r	19990-20010
orf5304	103505-103537
orf5304-r	19966-19989
orf5305	103550-103681
orf5305-r	19888-19965
orf5306	103700-103744
orf5306-r	19867-19887
orf5307	103745-103921
orf5307-r	19840-19866
orf5308	103922-103984
orf5308-r	19816-19839
orf5309	103985-104008
orf5309-r	19708-19815
orf531	41904-41954
orf531-r	114081-114101
orf5310	104009-104101
orf5310-r	19579-19707
orf5311	104138-104257
orf5311-r	19543-19569
orf5312	104258-104344
orf5312-r	19339-19542
orf5313	104345-104431
orf5313-r	19126-19338
orf5314	104432-104650
orf5314-r	19105-19125
orf5315	104660-104809
orf5315-r	19027-19104
orf5316	104810-104950
orf5316-r	19006-19026
orf5317	104951-104989
orf5317-r	18964-19005
orf5318	105002-105085
orf5318-r	18898-18930
orf5319	105086-105214
orf5319-r	18868-18897
orf532	41955-42011
orf532-r	114057-114080
orf5320	105215-105259
orf5320-r	18808-18867
orf5321	105260-105319
orf5321-r	18661-18804
orf5322	105320-105469
orf5322-r	18607-18627
orf5323	105470-105523
orf5323-r	18481-18570
orf5324	105524-105559
orf5324-r	18457-18480
orf5325	105575-105631
orf5325-r	18421-18456
orf5326	105632-105667
orf5326-r	18382-18408
orf5327	105668-105694
orf5327-r	18319-18354
orf5328	105695-105736
orf5328-r	18268-18318
orf5329	105746-105982
orf5329-r	18244-18267
orf533	42027-42089
orf533-r	114033-114056
orf5330	105983-106072
orf5330-r	18148-18243
orf5331	106073-106132
orf5331-r	18052-18147
orf5332	106133-106156
orf5332-r	18004-18051
orf5333	106157-106192
orf5333-r	17947-18003
orf5334	106193-106378
orf5334-r	17851-17946
orf5335	106400-106453
orf5335-r	17788-17841
orf5336	106454-106474
orf5336-r	17629-17775
orf5337	106475-106501
orf5337-r	17587-17613
orf5338	106502-106579
orf5338-r	17545-17586
orf5339	106595-106672
orf5339-r	17515-17544
orf534	42117-42203
orf534-r	113853-114017
orf5340	106673-106720
orf5340-r	17413-17514
orf5341	106730-106867
orf5341-r	17338-17412
orf5342	106886-106939
orf5342-r	17299-17337
orf5343	106940-107125
orf5343-r	17263-17298
orf5344	107141-107173
orf5344-r	17221-17262
orf5345	107174-107224
orf5345-r	17188-17220
orf5346	107243-107299
orf5346-r	17158-17178
orf5347	107300-107479
orf5347-r	17038-17094
orf5348	107480-107515
orf5348-r	17017-17037
orf5349	107516-107677
orf5349-r	16996-17016
orf535	42213-42308
orf535-r	113820-113852
orf5350	107693-107740
orf5350-r	16927-16977
orf5351	107741-107890
orf5351-r	16903-16926
orf5352	107891-107941
orf5352-r	16843-16902
orf5353	107957-108046
orf5353-r	16813-16842
orf5354	108059-108148
orf5354-r	16720-16794
orf5355	108149-108289
orf5355-r	16645-16707
orf5356	108290-108367
orf5356-r	16609-16644
orf5357	108368-108490
orf5357-r	16564-16605
orf5358	108491-108670
orf5358-r	16495-16560
orf5359	108671-108754
orf5359-r	16333-16494
orf536	42309-42329
orf536-r	113745-113816
orf5360	108755-108790
orf5360-r	16297-16332
orf5361	108791-109093
orf5361-r	16129-16296
orf5362	109094-109261
orf5362-r	16090-16128
orf5363	109268-109330
orf5363-r	16057-16089
orf5364	109331-109501
orf5364-r	15976-16056
orf5365	109502-109528
orf5365-r	15862-15975
orf5366	109529-109612
orf5366-r	15826-15861
orf5367	109613-109717
orf5367-r	15730-15822
orf5368	109718-109783
orf5368-r	15685-15729
orf5369	109784-109843
orf5369-r	15649-15684
orf537	42342-42365
orf537-r	113694-113732
orf5370	109847-110014
orf5370-r	15616-15648
orf5371	110027-110059
orf5371-r	15550-15597
orf5372	110078-110182
orf5372-r	15502-15549
orf5373	110183-110356
orf5373-r	15442-15501
orf5374	110357-110458
orf5374-r	15391-15441
orf5375	110459-110614
orf5375-r	15370-15390
orf5376	110615-110659
orf5376-r	15295-15369
orf5377	110690-110746
orf5377-r	15232-15294
orf5378	110747-110974
orf5378-r	15166-15201
orf5379	110975-111085
orf5379-r	15115-15165
orf538	42366-42386
orf538-r	113634-113693
orf5380	111086-111115
orf5380-r	15070-15105
orf5381	111116-111226
orf5381-r	15031-15069
orf5382	111227-111319
orf5382-r	14992-15015
orf5383	111323-111367
orf5383-r	14929-14991
orf5384	111368-111430
orf5384-r	14878-14928
orf5385	111431-111520
orf5385-r	14674-14877
orf5386	111521-111559
orf5386-r	14578-14673
orf5387	111560-111586
orf5387-r	14506-14577
orf5388	111602-111622
orf5388-r	14380-14505
orf5389	111623-111655
orf5389-r	14344-14379
orf539	42387-42407
orf539-r	113586-113618
orf5390	111662-111694
orf5390-r	14314-14343
orf5391	111695-111715
orf5391-r	14119-14310
orf5392	111716-111823
orf5392-r	14065-14100
orf5393	111824-111871
orf5393-r	14041-14064
orf5394	111887-111988
orf5394-r	13978-14040
orf5395	112001-112189
orf5395-r	13900-13977
orf5396	112190-112267
orf5396-r	13822-13899
orf5397	112280-112300
orf5397-r	13744-13821
orf5398	112301-112345
orf5398-r	13495-13725
orf5399	112346-112465
orf5399-r	13411-13494
orf54	4383-4481
orf54-r	152751-152771
orf540	42417-42560
orf540-r	113517-113585
orf5400	112466-112492
orf5400-r	13333-13410
orf5401	112499-112552
orf5401-r	13264-13332
orf5402	112553-112750
orf5402-r	13216-13257
orf5403	112751-112792
orf5403-r	13183-13215
orf5404	112793-112834
orf5404-r	13135-13182
orf5405	112841-112870
orf5405-r	13054-13119
orf5406	112871-112900
orf5406-r	12973-13053
orf5407	112925-112951
orf5407-r	12946-12972
orf5408	112952-113020
orf5408-r	12910-12933
orf5409	113021-113146
orf5409-r	12889-12909
orf541	42561-42677
orf541-r	113451-113498
orf5410	113147-113236
orf5410-r	12841-12888
orf5411	113237-113296
orf5411-r	12685-12798
orf5412	113297-113359
orf5412-r	12649-12684
orf5413	113360-113443
orf5413-r	12625-12648
orf5414	113444-113506
orf5414-r	12565-12624
orf5415	113507-113530
orf5415-r	12442-12546
orf5416	113558-113677
orf5416-r	12421-12441
orf5417	113681-113704
orf5417-r	12382-12420
orf5418	113705-113917
orf5418-r	12250-12381
orf5419	113918-114043
orf5419-r	12229-12249
orf542	42702-42737
orf542-r	113421-113450
orf5420	114044-114088
orf5420-r	12172-12228
orf5421	114089-114109
orf5421-r	12100-12171
orf5422	114140-114181
orf5422-r	12046-12099
orf5423	114194-114220
orf5423-r	11968-12045
orf5424	114221-114268
orf5424-r	11932-11955
orf5425	114269-114397
orf5425-r	11860-11931
orf5426	114398-114430
orf5426-r	11824-11859
orf5427	114431-114460
orf5427-r	11785-11805
orf5428	114461-114493
orf5428-r	11752-11784
orf5429	114494-114514
orf5429-r	11656-11751
orf543	42738-42776
orf543-r	113400-113420
orf5430	114515-114538
orf5430-r	11569-11634
orf5431	114539-114562
orf5431-r	11533-11568
orf5432	114563-114586
orf5432-r	11467-11532
orf5433	114587-114607
orf5433-r	11350-11421
orf5434	114608-114700
orf5434-r	11275-11316
orf5435	114701-114727
orf5435-r	11146-11274
orf5436	114728-114772
orf5436-r	11053-11094
orf5437	114773-114844
orf5437-r	11023-11052
orf5438	114845-115021
orf5438-r	10744-11022
orf5439	115022-115042
orf5439-r	10702-10725
orf544	42786-42962
orf544-r	113343-113396
orf5440	115043-115069
orf5440-r	10633-10698
orf5441	115070-115132
orf5441-r	10576-10632
orf5442	115133-115162
orf5442-r	10555-10575
orf5443	115169-115216
orf5443-r	10525-10554
orf5444	115232-115336
orf5444-r	10486-10524
orf5445	115340-115372
orf5445-r	10411-10485
orf5446	115373-115507
orf5446-r	10366-10410
orf5447	115508-115528
orf5447-r	10282-10365
orf5448	115529-115555
orf5448-r	10222-10272
orf5449	115556-115582
orf5449-r	10147-10221
orf545	42963-43061
orf545-r	113310-113330
orf5450	115583-115633
orf5450-r	10081-10146
orf5451	115634-115672
orf5451-r	9976-10080
orf5452	115673-115741
orf5452-r	9937-9975
orf5453	115742-116818
orf5453-r	9910-9936
orf5454	116819-116854
orf5454-r	9811-9900
orf5455	116855-116968
orf5455-r	9580-9810
orf5456	116987-117028
orf5456-r	9469-9579
orf5457	117032-117058
orf5457-r	9436-9468
orf5458	117059-117082
orf5458-r	9409-9435
orf5459	117083-117130
orf5459-r	9382-9408
orf546	43062-43133
orf546-r	113250-113273
orf5460	117131-117154
orf5460-r	9187-9366
orf5461	117155-117190
orf5461-r	9160-9186
orf5462	117203-117229
orf5462-r	9124-9159
orf5463	117257-117289
orf5463-r	9088-9123
orf5464	117305-117346
orf5464-r	9061-9087
orf5465	117347-117541
orf5465-r	8983-9060
orf5466	117542-117637
orf5466-r	8953-8982
orf5467	117638-117661
orf5467-r	8932-8952
orf5468	117662-117733
orf5468-r	8827-8931
orf5469	117737-117778
orf5469-r	8797-8826
orf547	43134-43322
orf547-r	113220-113249
orf5470	117794-117838
orf5470-r	8737-8781
orf5471	117851-117913
orf5471-r	8716-8736
orf5472	117941-117979
orf5472-r	8692-8715
orf5473	118004-118084
orf5473-r	8641-8691
orf5474	118112-118135
orf5474-r	8602-8640
orf5475	118136-118156
orf5475-r	8554-8595
orf5476	118157-118183
orf5476-r	8503-8553
orf5477	118184-118234
orf5477-r	8443-8502
orf5478	118244-118267
orf5478-r	8392-8442
orf5479	118268-118357
orf5479-r	8359-8382
orf548	43326-43391
orf548-r	113073-113219
orf5480	118358-118402
orf5480-r	8314-8334
orf5481	118415-118480
orf5481-r	8275-8313
orf5482	118481-118519
orf5482-r	8236-8274
orf5483	118520-118669
orf5483-r	8188-8214
orf5484	118670-118708
orf5484-r	8152-8187
orf5485	118709-118864
orf5485-r	8125-8151
orf5486	118865-118888
orf5486-r	8080-8118
orf5487	118889-118957
orf5487-r	8041-8079
orf5488	118958-119041
orf5488-r	7975-8028
orf5489	119057-119176
orf5489-r	7942-7968
orf549	43392-43448
orf549-r	113052-113072
orf5490	119201-119281
orf5490-r	7864-7941
orf5491	119282-119317
orf5491-r	7744-7818
orf5492	119318-119359
orf5492-r	7702-7725
orf5493	119372-119398
orf5493-r	7591-7683
orf5494	119399-119467
orf5494-r	7528-7572
orf5495	119531-119551
orf5495-r	7477-7521
orf5496	119552-119665
orf5496-r	7444-7476
orf5497	119666-119701
orf5497-r	7411-7443
orf5498	119705-119782
orf5498-r	7252-7410
orf5499	119783-119851
orf5499-r	7177-7251
orf55	4491-4532
orf55-r	152667-152750
orf550	43470-43499
orf550-r	113028-113051
orf5500	119885-120037
orf5500-r	7150-7176
orf5501	120038-120112
orf5501-r	7114-7134
orf5502	120113-120142
orf5502-r	7006-7110
orf5503	120161-120208
orf5503-r	6967-7005
orf5504	120209-120322
orf5504-r	6898-6966
orf5505	120323-120343
orf5505-r	6874-6897
orf5506	120371-120412
orf5506-r	6640-6873
orf5507	120422-120559
orf5507-r	6607-6639
orf5508	120572-120601
orf5508-r	6457-6588
orf5509	120602-120634
orf5509-r	6211-6438
orf551	43503-43523
orf551-r	112926-112970
orf5510	120635-120658
orf5510-r	6151-6210
orf5511	120659-120691
orf5511-r	5959-6150
orf5512	120692-120769
orf5512-r	5905-5943
orf5513	120779-120856
orf5513-r	5866-5892
orf5514	120857-120979
orf5514-r	5842-5865
orf5515	120980-121063
orf5515-r	5794-5835
orf5516	121064-121105
orf5516-r	5764-5793
orf5517	121124-121231
orf5517-r	5677-5709
orf5518	121232-121363
orf5518-r	5545-5658
orf5519	121364-121435
orf5519-r	5470-5526
orf552	43539-43688
orf552-r	112887-112925
orf5520	121445-121465
orf5520-r	5347-5469
orf5521	121478-121540
orf5521-r	5278-5340
orf5522	121556-121591
orf5522-r	5233-5265
orf5523	121592-121648
orf5523-r	5191-5232
orf5524	121649-121765
orf5524-r	5134-5190
orf5525	121766-121843
orf5525-r	5113-5133
orf5526	121844-121984
orf5526-r	5011-5094
orf5527	121988-122020
orf5527-r	4900-5010
orf5528	122036-122059
orf5528-r	4870-4899
orf5529	122060-122098
orf5529-r	4807-4863
orf553	43689-43922
orf553-r	112845-112874
orf5530	122102-122137
orf5530-r	4753-4782
orf5531	122138-122185
orf5531-r	4648-4737
orf5532	122186-122224
orf5532-r	4564-4647
orf5533	122225-122371
orf5533-r	4483-4563
orf5534	122384-122416
orf5534-r	4432-4470
orf5535	122417-122479
orf5535-r	4408-4431
orf5536	122480-122560
orf5536-r	4339-4392
orf5537	122561-122608
orf5537-r	4291-4338
orf5538	122633-122686
orf5538-r	4174-4290
orf5539	122708-122764
orf5539-r	4129-4173
orf554	43950-43976
orf554-r	112722-112844
orf5540	122765-122824
orf5540-r	3961-4128
orf5541	122825-122860
orf5541-r	3901-3933
orf5542	122861-122944
orf5542-r	3859-3894
orf5543	122972-123010
orf5543-r	3766-3855
orf5544	123020-123052
orf5544-r	3694-3750
orf5545	123053-123082
orf5545-r	3661-3684
orf5546	123098-123124
orf5546-r	3586-3642
orf5547	123125-123154
orf5547-r	3541-3585
orf5548	123173-123250
orf5548-r	3463-3540
orf5549	123287-123346
orf5549-r	3424-3462
orf555	43989-44021
orf555-r	112683-112721
orf5550	123362-123436
orf5550-r	3349-3423
orf5551	123437-123517
orf5551-r	3307-3348
orf5552	123521-123547
orf5552-r	3271-3303
orf5553	123548-123571
orf5553-r	1693-3270
orf5554	123572-123598
orf5554-r	1669-1692
orf5555	123602-123742
orf5555-r	1606-1650
orf5556	123767-123856
orf5556-r	1561-1593
orf5557	123866-124054
orf5557-r	1501-1560
orf5558	124055-124099
orf5558-r	1321-1500
orf5559	124103-124234
orf5559-r	1282-1314
orf556	44022-44093
orf556-r	112584-112682
orf5560	124235-124273
orf5560-r	1207-1281
orf5561	124274-124315
orf5561-r	97-1206
orf5562	124316-124366
orf5563	124394-124447
orf5564	124454-124498
orf5565	124499-124567
orf5566	124568-124588
orf5567	124589-124639
orf5568	124664-124762
orf5569	124766-124834
orf557	44103-44288
orf557-r	112560-112580
orf5570	124835-124963
orf5571	124964-124984
orf5572	124991-125041
orf5573	125069-125116
orf5574	125135-125326
orf5575	125327-125371
orf5576	125372-125479
orf5577	125480-125527
orf5578	125528-125554
orf5579	125555-125587
orf558	44292-44492
orf558-r	112326-112559
orf5580	125588-125689
orf5581	125690-125740
orf5582	125741-125815
orf5583	125819-126061
orf5584	126062-126097
orf5585	126098-126178
orf5586	126179-126205
orf5587	126206-126304
orf5588	126305-126412
orf5589	126413-126439
orf559	44493-44573
orf559-r	112293-112325
orf5590	126440-126559
orf5591	126560-126604
orf5592	126605-126628
orf5593	126629-126706
orf5594	126707-126766
orf5595	126767-126796
orf5596	126797-126868
orf5597	126869-126895
orf5598	126896-126922
orf5599	126932-126955
orf56	4548-4604
orf56-r	152577-152666
orf560	44574-44594
orf560-r	112167-112292
orf5600	126956-126979
orf5601	127001-127051
orf5602	127067-127117
orf5603	127139-127180
orf5604	127181-127231
orf5605	127232-127270
orf5606	127346-127369
orf5607	127370-127447
orf5608	127448-127489
orf5609	127490-127612
orf561	44595-44660
orf561-r	112134-112160
orf5610	127613-127747
orf5611	127748-127840
orf5612	127841-128068
orf5613	128069-128113
orf5614	128114-128233
orf5615	128246-128305
orf5616	128306-128329
orf5617	128330-128353
orf5618	128366-128533
orf5619	128534-128635
orf562	44661-44762
orf562-r	112071-112133
orf5620	128636-128686
orf5621	128687-128770
orf5622	128771-128803
orf5623	128804-128857
orf5624	128858-128902
orf5625	128903-128932
orf5626	128945-129151
orf5627	129167-129286
orf5628	129287-129313
orf5629	129326-129424
orf563	44763-44819
orf563-r	112050-112070
orf5630	129425-129604
orf5631	129614-129748
orf5632	129749-129835
orf5633	129836-129943
orf5634	129956-130021
orf5635	130022-130126
orf5636	130130-130219
orf5637	130220-130273
orf5638	130274-130339
orf5639	130340-130396
orf564	44823-44876
orf564-r	112023-112043
orf5640	130397-130426
orf5641	130427-130468
orf5642	130505-130543
orf5643	130544-130576
orf5644	130580-130684
orf5645	130685-130720
orf5646	130724-130879
orf5647	130880-130900
orf5648	130919-130981
orf5649	130982-131017
orf565	44886-44909
orf565-r	111972-112022
orf5650	131018-131113
orf5651	131114-131194
orf5652	131195-131242
orf5653	131273-131308
orf5654	131309-131413
orf5655	131432-131479
orf5656	131480-131536
orf5657	131558-131626
orf5658	131627-131653
orf5659	131663-131713
orf566	44910-44966
orf566-r	111921-111956
orf5660	131714-131899
orf5661	131900-132025
orf5662	132026-132088
orf5663	132089-132121
orf5664	132122-132220
orf5665	132221-132286
orf5666	132287-132322
orf5667	132347-132391
orf5668	132392-132439
orf5669	132440-132838
orf567	44967-45014
orf567-r	111879-111911
orf5670	132839-132862
orf5671	132863-132928
orf5672	132929-133048
orf5673	133049-133279
orf5674	133298-133330
orf5675	133331-133453
orf5676	133454-133579
orf5677	133580-134050
orf5678	134051-134083
orf5679	134084-134143
orf568	45015-45266
orf568-r	111843-111878
orf5680	134144-134182
orf5681	134183-134341
orf5682	134342-134461
orf5683	134483-134560
orf5684	134579-134695
orf5685	134696-134725
orf5686	134744-134788
orf5687	134789-134833
orf5688	134834-134854
orf5689	134855-135094
orf569	45267-45323
orf569-r	111801-111824
orf5690	135095-135256
orf5691	135257-135322
orf5692	135323-135478
orf5693	135479-135520
orf5694	135527-135553
orf5695	135554-135580
orf5696	135581-135643
orf5697	135644-135697
orf5698	135698-135757
orf5699	135758-135862
orf57	4605-4625
orf57-r	152550-152576
orf570	45324-45398
orf570-r	111756-111800
orf5700	135863-135970
orf5701	135971-136027
orf5702	136028-136228
orf5703	136229-136417
orf5704	136427-136474
orf5705	136490-136624
orf5706	136625-136807
orf5707	136808-136924
orf5708	136925-136960
orf5709	136964-136990
orf571	45417-45452
orf571-r	111672-111755
orf5710	136991-137023
orf5711	137024-137107
orf5712	137108-137221
orf5713	137222-137431
orf5714	137432-137614
orf5715	137618-137782
orf5716	137783-137911
orf5717	137912-137932
orf5718	137933-138025
orf5719	138026-138058
orf572	45471-45623
orf572-r	111447-111671
orf5720	138059-138121
orf5721	138122-138271
orf5722	138272-138343
orf5723	138344-138508
orf5724	138509-138553
orf5725	138554-138958
orf5726	138959-139135
orf5727	139136-139159
